Date,Adj Close,Close,High,Low,Open,Volume
2019-01-02,132.0175629,136.6999969,137.7489929,133.0299988,134.1300049,16708400
2019-01-03,126.1265106,130.6000061,134.8699951,129.8300018,134.2700043,19531300
2019-01-04,134.963089,139.75,141.0800018,133.6600037,134.2599945,22845400
2019-01-07,138.198349,143.1000061,144.0800018,139.0099945,140.5500031,17239000
2019-01-08,141.7619324,146.7899933,147.5500031,142.0599976,145.0,16487600
2019-01-09,146.7162323,151.9199982,153.3500061,148.5,149.8899994,20214100
2019-01-10,146.4941101,151.6900024,152.0299988,148.8800049,149.8099976,14221100
2019-01-11,146.136795,151.3200073,153.3800049,150.1399994,151.8300018,9589400
2019-01-14,144.1570129,149.2700043,150.5700073,146.5399933,148.5,13356700
2019-01-15,145.711853,150.8800049,154.1699982,149.9640045,150.6799927,15003100
2019-01-16,149.5362091,154.8399963,155.3899994,151.5,152.8099976,14810800
2019-01-17,150.6275024,155.9700012,158.5500031,151.8999939,152.1100006,16153200
2019-01-18,151.6415405,157.0200043,159.4900055,154.7299957,158.4499969,19611400
2019-01-22,146.9383392,152.1499939,155.4400024,150.2070007,154.3999939,21295000
2019-01-23,146.8224487,152.0299988,155.1799927,150.9499969,154.6499939,10195800
2019-01-24,150.5212708,155.8600006,156.0,151.2100067,151.4700012,10997900
2019-01-25,153.7565308,159.2100067,160.5,157.4299927,158.9100037,16451800
2019-01-28,153.4764557,158.9199982,159.6900024,155.3000031,157.8000031,10141100
2019-01-29,151.5063324,156.8800049,160.375,155.9199982,159.0399933,18348200
2019-01-30,161.1058655,166.8200073,167.8399963,160.5,161.2899933,36997700
2019-01-31,162.7186584,168.4900055,169.7299957,165.6999969,167.8000031,21219500
2019-02-01,162.2164612,167.9700012,169.3999939,167.6300049,168.0,10771500
2019-02-04,160.9899597,166.6999969,167.5500031,165.6100006,166.3200073,7380400
2019-02-05,165.9442444,171.8300018,171.9499969,168.0,168.5500031,12801800
2019-02-06,165.6448669,171.5200043,173.0899963,169.9900055,171.8600006,11267800
2019-02-07,161.2410583,166.9600067,169.6100006,164.3359985,169.1600037,11911100
2019-02-08,161.6273499,167.3600006,167.6499939,163.75,163.8300018,8331500
2019-02-11,161.7142639,167.4499969,170.3300018,167.4499969,168.8500061,7260300
2019-02-12,162.9311218,168.7100067,170.4900055,168.6100006,169.6000061,8594400
2019-02-13,163.5974731,169.3999939,171.0500031,168.9900055,169.9100037,8661800
2019-02-14,162.6124115,168.3800049,168.5,166.6100006,167.6399994,8722100
2019-02-15,160.4588013,166.1499939,168.7700043,165.4100037,168.6100006,12099500
2019-02-19,164.3507538,170.1799927,171.1499939,166.5,166.9799957,12982300
2019-02-20,164.8626099,170.7100067,172.6799927,170.6100006,171.0,12454900
2019-02-21,165.7800598,171.6600037,171.7799988,169.8000031,171.0,8434800
2019-02-22,170.8598938,176.9199982,177.0200043,172.5200043,172.8000031,16175600
2019-02-25,176.9730682,183.25,183.7200012,180.7299957,181.2599945,22831800
2019-02-26,177.2531281,183.5399933,184.3500061,179.3699951,179.7899933,13871000
2019-02-27,178.2575073,184.5800018,184.9299927,180.8800049,181.7200012,16741600
2019-02-28,176.7606049,183.0299988,184.3000031,181.4700012,183.0099945,12370400
2019-03-01,177.5814819,183.8800049,186.8999939,183.3800049,185.0899963,14348500
2019-03-04,180.8360596,187.25,187.3399963,184.4600067,186.0,14761700
2019-03-05,178.6631317,185.0,188.0800018,185.0,186.9400024,11513200
2019-03-06,177.8615417,184.1699982,185.5899963,183.0200043,184.3800049,10009100
2019-03-07,171.2462006,177.3200073,181.8000031,176.7299957,180.9100037,16488900
2019-03-08,169.0346375,175.0299988,175.3500061,171.5650024,171.5650024,14674200
2019-03-11,174.2303467,180.4100037,181.7200012,177.5800018,177.8300018,13764000
2019-03-12,174.4428253,180.6300049,182.1799927,179.5099945,182.0399933,8660000
2019-03-13,174.5104218,180.6999969,182.5350037,179.2599945,180.7299957,8868200
2019-03-14,174.1820526,180.3600006,180.8200073,178.0099945,179.0599976,9272000
2019-03-15,174.7711639,180.9700012,181.4499969,179.6600037,180.6600037,10844100
2019-03-18,175.6016998,181.8300018,182.8899994,180.7599945,181.9299927,7847800
2019-03-19,175.9010925,182.1399994,183.3600006,180.8500061,181.6300049,10238600
2019-03-20,175.0705566,181.2799988,181.9499969,178.4299927,180.9400024,15901500
2019-03-21,175.2830048,181.5,181.7299957,178.5200043,178.9499969,9754500
2019-03-22,170.2224884,176.2599945,180.4799957,175.3359985,179.7700043,11688400
2019-03-25,172.6465149,178.7700043,178.8999939,174.1000061,174.3300018,7511400
2019-03-26,171.9801483,178.0800018,180.6499939,177.0950012,179.6999969,7897900
